\\U0001f487, _emoj_haircut_ 
\\U0001f488, _emoj_barber_ 
\\U0001f489, _emoj_syringe_ 
\\U0001f48a, _emoj_pill_ 
\\U0001f48b, _emoj_kiss_ 
\\U0001f48c, _emoj_love_letter_ 
\\U0001f48d, _emoj_ring_ 
\\U0001f48e, _emoj_gem_ 
\\U0001f48f, _emoj_couplekiss_ 
\\U0001f490, _emoj_bouquet_ 
\\U0001f491, _emoj_couple_+_emoj_heart_ 
\\U0001f492, _emoj_wedding_ 
\\U0001f493, _emoj_heart_ 
\\U0001f494, _emoj_broken_heart_ 
\\U0001f495, _emoj_heart_+_emoj_heart_ 
\\U0001f496, _emoj_heart_ 
\\U0001f497, _emoj_heart_ 
\\U0001f498, _emoj_cupid_ 
\\U0001f499, _emoj_heart_ 
\\U0001f49a, _emoj_heart_ 
\\U0001f49b, _emoj_heart_ 
\\U0001f49c, _emoj_heart_ 
\\U0001f49d, _emoj_gift_+_emoj_heart_ 
\\U0001f49e, _emoj_heart_+_emoj_heart_ 
\\U0001f49f, _emoj_heart_ 
\\U0001f4a0, _emoj_diamond_shape_with_a_dot_inside_ 
\\U0001f4a1, _emoj_bulb_ 
\\U0001f4a2, _emoj_anger_ 
\\U0001f4a3, _emoj_bomb_ 
\\U0001f4a4, _emoj_zzz_ 
\\U0001f4a5, _emoj_boom_ 
\\U0001f4a6, _emoj_sweat_drops_ 
\\U0001f4a7, _emoj_droplet_ 
\\U0001f4a8, _emoj_dash_ 
\\U0001f4a9, _emoj_shit_ 
\\U0001f4aa, _emoj_muscle_ 
\\U0001f4ab, _emoj_dizzy_ 
\\U0001f4ac, _emoj_speech_balloon_ 
\\U0001f4ad, _emoj_thought_balloon_ 
\\U0001f4ae, _emoj_white_flower_ 
\\U0001f4af, _emoj_100_ 
\\U0001f4b0, _emoj_moneybag_ 
\\U0001f4b1, _emoj_currency_exchange_ 
\\U0001f4b2, _emoj_heavy_dollar_sign_ 
\\U0001f4b3, _emoj_credit_card_ 
\\U0001f4b4, _emoj_yen_ 
\\U0001f4b5, _emoj_dollar_ 
\\U0001f4b6, _emoj_euro_ 
\\U0001f4b7, _emoj_pound_ 
\\U0001f4b8, _emoj_money_with_wings_ 
\\U0001f4b9, _emoj_chart_ 
\\U0001f4ba, _emoj_seat_ 
\\U0001f4bb, _emoj_computer_ 
\\U0001f4bc, _emoj_briefcase_ 
\\U0001f4bd, _emoj_minidisc_ 
\\U0001f4be, _emoj_floppy_disk_ 
\\U0001f4bf, _emoj_cd_ 
\\U0001f4c0, _emoj_dvd_ 
\\U0001f4c1, _emoj_file_folder_ 
\\U0001f4c2, _emoj_open_file_folder_ 
\\U0001f4c3, _emoj_page_with_curl_ 
\\U0001f4c4, _emoj_page_facing_up_ 
\\U0001f4c5, _emoj_date_ 
\\U0001f4c6, _emoj_calendar_ 
\\U0001f4c7, _emoj_card_index_ 
\\U0001f4c8, _emoj_chart_with_upwards_trend_ 
\\U0001f4c9, _emoj_chart_with_downwards_trend_ 
\\U0001f4ca, _emoj_bar_chart_ 
\\U0001f4cb, _emoj_clipboard_ 
\\U0001f4cc, _emoj_pushpin_ 
\\U0001f4cd, _emoj_round_pushpin_ 
\\U0001f4ce, _emoj_paperclip_ 
\\U0001f4cf, _emoj_straight_ruler_ 
\\U0001f4d0, _emoj_triangular_ruler_ 
\\U0001f4d1, _emoj_bookmark_tabs_ 
\\U0001f4d2, _emoj_ledger_ 
\\U0001f4d3, _emoj_notebook_ 
\\U0001f4d4, _emoj_notebook_with_decorative_cover_ 
\\U0001f4d5, _emoj_closed_book_ 
\\U0001f4d6, _emoj_open_book_ 
\\U0001f4d7, _emoj_green_book_ 
\\U0001f4d8, _emoj_blue_book_ 
\\U0001f4d9, _emoj_orange_book_ 
\\U0001f4da, _emoj_books_ 
\\U0001f4db, _emoj_name_badge_ 
\\U0001f4dc, _emoj_scroll_ 
\\U0001f4dd, _emoj_memo_ 
\\U0001f4de, _emoj_telephone_receiver_ 
\\U0001f4df, _emoj_pager_ 
\\U0001f4e0, _emoj_fax_ 
\\U0001f4e1, _emoj_satellite_ 
\\U0001f4e2, _emoj_loudspeaker_ 
\\U0001f4e3, _emoj_mega_ 
\\U0001f4e4, _emoj_outbox_tray_ 
\\U0001f4e5, _emoj_inbox_tray_ 
\\U0001f4e6, _emoj_package_ 
\\U0001f4e7, _emoj_e-mail_ 
\\U0001f4e8, _emoj_incoming_envelope_ 
\\U0001f4e9, _emoj_envelope_with_arrow_ 
\\U0001f4ea, _emoj_mailbox_closed_ 
\\U0001f4eb, _emoj_mailbox_ 
\\U0001f4ec, _emoj_mailbox_with_mail_ 
\\U0001f4ed, _emoj_mailbox_with_no_mail_ 
\\U0001f4ee, _emoj_postbox_ 
\\U0001f4ef, _emoj_postal_horn_ 
\\U0001f4f0, _emoj_newspaper_ 
\\U0001f4f1, _emoj_iphone_ 
\\U0001f4f2, _emoj_calling_ 
\\U0001f4f3, _emoj_vibration_mode_ 
\\U0001f4f4, _emoj_mobile_phone_off_ 
\\U0001f4f5, _emoj_no_mobile_phones_ 
\\U0001f4f6, _emoj_signal_strength_ 
\\U0001f4f7, _emoj_camera_ 
\\U0001f4f9, _emoj_video_camera_ 
\\U0001f4fa, _emoj_tv_ 
\\U0001f4fb, _emoj_radio_ 
\\U0001f4fc, _emoj_vhs_ 
\\U0001f500, _emoj_twisted_rightwards_arrows_ 
\\U0001f501, _emoj_repeat_ 
\\U0001f502, _emoj_repeat_one_ 
\\U0001f503, _emoj_arrows_clockwise_ 
\\U0001f504, _emoj_arrows_counterclockwise_ 
\\U0001f505, _emoj_low_brightness_ 
\\U0001f506, _emoj_high_brightness_ 
\\U0001f507, _emoj_mute_ 
\\U0001f508, _emoj_speaker_ 
\\U0001f509, _emoj_sound_ 
\\U0001f50a, _emoj_loud_sound_ 
\\U0001f50b, _emoj_battery_ 
\\U0001f50c, _emoj_electric_plug_ 
\\U0001f50d, _emoj_mag_ 
\\U0001f50e, _emoj_mag_right_ 
\\U0001f50f, _emoj_lock_with_ink_pen_ 
\\U0001f510, _emoj_closed_lock_with_key_ 
\\U0001f511, _emoj_key_ 
\\U0001f512, _emoj_lock_ 
\\U0001f513, _emoj_unlock_ 
\\U0001f514, _emoj_bell_ 
\\U0001f515, _emoj_no_bell_ 
\\U0001f516, _emoj_bookmark_ 
