\\U0001f51c, [emoj_soon] 
\\U0001f51d, [emoj_top] 
\\U0001f51e, [emoj_underage] 
\\U0001f51f, [emoj_keycap_ten] 
\\U0001f520, [emoj_capital_abcd] 
\\U0001f521, [emoj_abcd] 
\\U0001f522, [emoj_1234] 
\\U0001f523, [emoj_symbols] 
\\U0001f524, [emoj_abc] 
\\U0001f525, [emoj_fire] 
\\U0001f526, [emoj_flashlight] 
\\U0001f527, [emoj_wrench] 
\\U0001f528, [emoj_hammer] 
\\U0001f529, [emoj_nut_and_bolt] 
\\U0001f52a, [emoj_hocho] 
\\U0001f52b, [emoj_gun] 
\\U0001f52c, [emoj_microscope] 
\\U0001f52d, [emoj_telescope] 
\\U0001f52e, [emoj_crystal_ball] 
\\U0001f52f, [emoj_six_pointed_star] 
\\U0001f530, [emoj_beginner] 
\\U0001f531, [emoj_trident] 
\\U0001f532, [emoj_black_square_button] 
\\U0001f533, [emoj_white_square_button] 
\\U0001f534, [emoj_red_circle] 
\\U0001f535, [emoj_large_blue_circle] 
\\U0001f536, [emoj_large_orange_diamond] 
\\U0001f537, [emoj_large_blue_diamond] 
